model_id,model_name,election_date,datasource_weight,model_time_interval,model_time_distance,model_time_id,GT_end_date,GT_start_date,GT_identifier,election,model_time_period_color,parties,data_election,data_election_previous,name_GT_datasets,GT_keywords,data_GT_year,predictions_Infratest,predictions_Forsa,predictions_Kantar,predictions_FGW,predictions_Allens,predictions_GT,predictions_GT_election_weight,Weight_Model_2,Poll_dates_weekly_weighting,GT_data_weekly_weighting,predicitons_GT_weekly_polls,predicitons_GT_weekly_polls_mean,predictions
22,M_70_2009_int_91_days_dist_1_days_Infratest,2009-09-27,Infratest,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
23,M_71_2009_int_91_days_dist_51_days_Infratest,2009-09-27,Infratest,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
24,M_72_2009_int_91_days_dist_101_days_Infratest,2009-09-27,Infratest,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
25,M_73_2009_int_7_days_dist_1_days_Forsa,2009-09-27,Forsa,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
26,M_74_2009_int_7_days_dist_51_days_Forsa,2009-09-27,Forsa,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
27,M_75_2009_int_7_days_dist_101_days_Forsa,2009-09-27,Forsa,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
28,M_76_2009_int_91_days_dist_1_days_Forsa,2009-09-27,Forsa,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
29,M_77_2009_int_91_days_dist_51_days_Forsa,2009-09-27,Forsa,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
30,M_78_2009_int_91_days_dist_101_days_Forsa,2009-09-27,Forsa,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
31,M_79_2009_int_7_days_dist_1_days_Kantar,2009-09-27,Kantar,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
32,M_80_2009_int_7_days_dist_51_days_Kantar,2009-09-27,Kantar,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
33,M_81_2009_int_7_days_dist_101_days_Kantar,2009-09-27,Kantar,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
34,M_82_2009_int_91_days_dist_1_days_Kantar,2009-09-27,Kantar,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
35,M_83_2009_int_91_days_dist_51_days_Kantar,2009-09-27,Kantar,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
36,M_84_2009_int_91_days_dist_101_days_Kantar,2009-09-27,Kantar,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
