name,trend_05,check,trend_05_identical,trend_09,trend_09_identical,trend_AFD_13,trend_AFD_13_identical,trend_AFD_17,trend_AFD_17_identical,trend_AFD_21,trend_AFD_21_identical,trend_CDU_13,trend_CDU_13_identical,trend_CDU_17,trend_CDU_17_identical,trend_CDU_21,trend_CDU_21_identical,trend_sonst_05,trend_sonst_05_identical,trend_sonst_09,trend_sonst_09_identical,trend_sonst_13,trend_sonst_13_identical,trend_sonst_17,trend_sonst_17_identical,trend_sonst_21,trend_sonst_21_identical,no_dataset_identical,how_many_dataset_identical
2022-11-28 21-31-16.RData,,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,TRUE,0
2022-11-28 22-31-13.RData,,TRUE_FALSE_FALSE_FALSE_TRUE_FALSE_TRUE_TRUE_TRUE_FALSE_FALSE_TRUE_TRUE,TRUE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,FALSE,7
2022-11-28 23-31-16.RData,,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,TRUE,0
2022-11-29 00-31-13.RData,,TRUE_TRUE_TRUE_TRUE_FALSE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_FALSE,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,FALSE,11
2022-11-29 01-31-13.RData,,FALSE_TRUE_TRUE_TRUE_FALSE_TRUE_TRUE_FALSE_TRUE_TRUE_TRUE_TRUE_TRUE,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,FALSE,10
2022-11-29 02-31-13.RData,,FALSE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_FALSE_FALSE_TRUE_TRUE_TRUE_TRUE,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,FALSE,10
2022-11-29 03-31-13.RData,,TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,FALSE,13
2022-11-29 04-31-13.RData,,TRUE_TRUE_FALSE_TRUE_FALSE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_FALSE,TRUE,,TRUE,,FALSE,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,FALSE,10
2022-11-29 05-31-12.RData,,TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,FALSE,13
2022-11-29 06-31-13.RData,,TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE_TRUE,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,FALSE,13
