Date,CDU,SPD,Grüne,FDP,Linke,AFD,Sonstige
2010-12-17,34,28,19,5,9,0,5
2010-12-03,34,27,20,5,9,0,5
2010-11-12,33,28,20,5,9,0,5
2010-10-22,32,29,20,5,9,0,5
2010-10-01,31,30,19,5,9,0,6
2010-09-24,31,30,19,5,9,0,6
2010-09-10,32,31,17,5,10,0,5
2010-08-27,33,31,16,5,10,0,5
2010-07-16,33,32,15,5,10,0,5
2010-06-18,33,31,15,5,11,0,5
2010-06-04,34,29,15,6,10,0,6
2010-05-21,36,27,14,6,11,0,6
2010-04-23,38,26,13,8,10,0,5
2010-03-26,37,26,13,9,11,0,4
2010-03-12,36,25,14,10,10,0,5
2010-02-26,36,25,14,10,10,0,5
2010-01-29,37,26,12,10,10,0,5
2010-01-15,36,25,12,11,11,0,5
2009-12-11,35,25,11,12,11,0,6
2009-11-27,35,24,10,13,12,0,6
2009-10-30,36,22,11,13,13,0,5
2009-10-16,35,22,11,14,13,0,5
2009-10-02,35,22,11,14,13,0,5
2009-09-18,36,25,10,13,11,NA,5
2009-09-11,36,23,11,14,11,NA,5
2009-09-04,37,23,11,15,10,NA,4
2009-08-28,37,23,12,14,9,NA,5
2009-08-21,37,23,12,14,9,NA,5
2009-08-07,36,23,12,14,9,NA,6
2009-07-24,36,24,11,14,9,NA,6
2009-07-03,36,25,11,13,9,NA,6
2009-06-12,37,25,11,13,8,NA,6
2009-05-29,36,28,10,12,9,NA,5
2009-05-08,37,27,9,13,10,NA,4
2009-04-24,37,26,9,14,10,NA,4
2009-03-27,37,25,9,15,10,NA,4
2009-03-06,37,24,10,15,10,NA,4
2009-02-13,38,25,10,13,10,NA,4
2009-01-30,37,26,9,14,9,NA,5
2009-01-09,40,26,8,11,10,NA,5
2008-12-12,39,26,9,11,10,NA,5
2008-11-21,39,25,10,11,10,NA,5
2008-11-07,40,25,9,11,10,NA,5
2008-10-24,38,25,9,11,11,NA,6
2008-10-10,38,25,8,11,12,NA,6
2008-09-12,40,26,9,9,11,NA,5
2008-08-15,40,25,10,9,11,NA,5
2008-07-11,39,26,9,10,12,NA,4
2008-06-13,39,26,10,10,11,NA,4
2008-05-30,40,25,10,9,11,NA,5
2008-05-09,40,27,9,8,11,NA,5
2008-04-18,40,27,9,8,11,NA,5
2008-04-04,39,28,9,9,11,NA,4
2008-03-14,40,29,9,8,10,NA,4
2008-02-29,40,30,7,8,11,NA,4
2008-02-08,41,30,7,7,10,NA,5
2008-01-11,42,30,7,7,9,NA,5
2007-12-14,41,31,8,7,9,NA,4
2007-11-23,40,31,9,6,9,NA,5
2007-11-09,40,30,8,7,10,NA,5
2007-10-19,40,31,8,7,9,NA,5
2007-10-05,41,30,8,7,10,NA,4
2007-09-14,40,29,9,8,10,NA,4
2007-08-17,40,29,8,9,9,NA,5
2007-07-20,40,29,8,9,10,NA,4
2007-06-22,38,31,8,9,10,NA,4
